"1",1,"Most Back Ban on High-Capacity Clips; Many See Societal Issues in Connecticut Shootings http://t.co/KdHiDqW7 (via @ABC)"
"2",0,"RT @Politics_PR: Your #NRA, Fighting For The Rights Of Wife Beaters And Stalkers Everywhere http://t.co/bzsIau0Crr #2a #gunsense #p2 http:ƒ"
"3",0,"Student shooter and middle-school staffer dead in Sparks, Nev. http://t.co/brJ4lyhvgu"
"4",0,"RT @NYCMayorsOffice: We heard after Columbine that it was too soon to talk about gun laws. We heard it after VTech, Tucson &amp; Aurora. ..."
"5",0,"I'm so pro gay marriage and so pro gun that one might say I'm gay for guns #libertarianproblems #lawl"
"6",1,"RT @VictorHelling: I support President Obama in the fight FOR GUN CONTROL! http://t.co/984PXaq1DM RT if you agree!!"
"7",1,"#edshow BG Checks, Total gun registration &amp; document all sales, yearly inspection by local PD. Up/Down vote by congress."
"8",3,"RT @johnfaisonsr: Praying for #Marysville, WA. Another school shooting. But in Nebraska students can pose w/guns for school pics. When willƒ"
"9",2,"RT @2ANow: Vote with Your Wallet Against #guncontrol Qdoba Mexican Grill Does NOT support the #2A http://t.co/tDUITrpDja #NJ2AS #tcot #PJNET"
"10",0,"1 Dead, 12 Wounded In Shootings Since Friday: CHICAGO (STMW) „ One person is dead and 12 others wounded in... http://t.co/oYiscm5zjR"
"11",0,"@CindyBP show me where it says gun related crimes is on the rise - since the total ban. I've never hear such lunacy!!"
"12",0,"Police identify 35-year-old Galt officer killed in shooting http://t.co/a1jOG5YM via @addthis"
"13",0,"RT @floodthedrummer: Rendell, Nutter demands vote on Gun Legislation. http://t.co/veLnc2ulvw @ALBDAMN @MrJAlabaster @normbond @HMCTwit @ ..."
"14",0,"RT @VitalyKroy: Billionaire gun control advocate buys a FUCKING TANK (without the background check) http://t.co/naJETWr0cB"
"15",1,"White House considers broader U.S. gun control: report http://t.co/rEwaQzTT"
"16",0,"RT @welshman007: Alaska gun stores say ATF engaging in new illegal activity http://t.co/SS1wqyDb #ObamaFail #ObamaCorruption #WH #trutht ..."
"17",0,"Shooting near campus of Shippensburg University: Police are investigating a shooting not far from the campus of ... http://t.co/u4vpAkw6"
"18",0,"Soldier sentenced to death for Fort Hood shooting (from @AP) http://t.co/J6fQtL6MWF"
"19",0,"RT @GoodmanESPN: Wayne Selden is clearly more ready at this point to make an impact in a college game. Has improved so much in passing and ƒ"
"20",0,"UPDATE: The Sheriff's Office has issued a news release about last night's shooting in Vidor http://t.co/IZ81HdPO"
"21",0,"RT @piersmorgan: How many more school shootings will it take before America does even ONE thing to try and stop them?"
